member_id,member_name,phone,email_id,tier,points_balance,dob,joined_on
BH-100000,Mohan Joshi,8288940886,mohan_joshi0@rediffmail.com,bronze,709,25/08/1993,2025-11-19
BH-100001,Aditya Chatterjee,8689158766,aditya_chatterjee1@outlook.com,platinum,224,25/08/1962,2024-10-04
BH-100003,Divya K.,8968346576,divya_khan3@outlook.com,bronze,168,29/11/1963,2025-10-25
BH-100005,Sanjay Krishnan,8085199065,sanjay.krishnan5@yahoo.com,bronze,481,20/08/1968,2025-11-09
BH-100006,rakesh reddy,9634496606,rakesh.reddy6@rediffmail.com,bronze,76,16/11/1960,2024-11-16
BH-100008,Gaurav Reddy,8640791850,gaurav.reddy8@outlook.com,bronze,555,03/09/1976,2024-09-17
BH-100015,K. Mehta,8064844411,kunalmehta15@yahoo.com,silver,663,29/09/2006,2026-05-01
BH-100019,ananya menon,9116043115,ananya.menon19@rediffmail.com,silver,543,27/04/1974,2025-08-03
BH-100020,Naveen Mishra,9416467855,naveen.mishra20@hotmail.com,platinum,1597,14/05/1968,2025-01-02
BH-100022,A. Bhat,9700164461,amitbhat22@rediffmail.com,bronze,36,15/08/1961,2024-10-09
BH-100024,Faisal Patel,9033600962,faisalpatel24@rediffmail.com,gold,931,12/01/1971,2024-11-21
BH-100025,Neha Roy,7288354174,neha_roy25@yahoo.com,bronze,3978,21/10/1987,2025-10-17
BH-100026,Hemant S.,9380517706,hemantsaxena26@hotmail.com,bronze,685,20/06/1988,2025-09-24
BH-100028,Tara Ali,8880893081,tara_ali28@yahoo.com,silver,1548,30/03/1989,2025-09-08
BH-100029,Vinay Yadav,9495307062,vinay_yadav29@yahoo.com,bronze,2975,15/09/2000,2025-05-20
BH-100031,Bhavana Iyer,8231515907,bhavanaiyer31@gmail.com,bronze,54,23/11/1995,2025-09-11
BH-100033,Arjun Pandey,9911849881,arjun_pandey33@rediffmail.com,bronze,1427,13/09/1990,2025-03-27
