source_system,source_order_id,customer_mobile,customer_email,customer_name,order_date,amount_inr,items_count,category,store_id
pos,POS-0000000,8137792706,rekha.qureshi1341@outlook.com,Rekha Qureshi,2025-10-18 14:00:00,108.49,1,Pastry,BLR-02
ecommerce,ECO-0000001,9964871605,anjalipillai285@hotmail.com,Anjali Pillai,2026-05-20 21:00:00,940.72,3,Espresso,online
pos,POS-0000002,8361882852,rekhapatel865@rediffmail.com,Rekha Patel,2026-04-08 14:00:00,209.55,1,Sandwich,HYD-01
pos,POS-0000003,8397917344,pooja_tiwari1007@yahoo.com,Pooja Tiwari,2026-01-14 12:00:00,636.1,1,Merchandise,BLR-02
loyalty,LOY-0000004,9691197867,nitin.menon1470@yahoo.com,Nitin Menon,2026-04-29 09:00:00,480.36,1,Merchandise,online
ecommerce,ECO-0000005,8586766865,arjun_subramanian334@outlook.com,Arjun Subramanian,2025-12-25 07:00:00,1454.68,4,Cold Brew,online
ecommerce,ECO-0000006,7653652325,ayesha.naidu1399@rediffmail.com,Ayesha Naidu,2026-05-28 21:00:00,156.98,1,Pastry,online
pos,POS-0000007,9763328389,nisha.tiwari1488@hotmail.com,Nisha Tiwari,2026-05-14 15:00:00,1554.04,2,Merchandise,MUM-01
pos,POS-0000008,7915364394,ayesha_mehta447@rediffmail.com,Ayesha Mehta,2025-10-08 06:00:00,181.65,1,Pastry,DEL-01
pos,POS-0000009,9726769189,snehanaidu808@gmail.com,Sneha Naidu,2026-02-03 18:00:00,258.77,1,Espresso,DEL-01
loyalty,LOY-0000010,9758961008,komalmishra937@hotmail.com,Komal Mishra,2026-05-31 00:00:00,559.19,2,Sandwich,online
pos,POS-0000011,9470414538,lathasen659@hotmail.com,Latha Sen,2026-01-29 23:00:00,1302.87,4,Sandwich,BLR-02
loyalty,LOY-0000012,7724248642,aditya.ali154@yahoo.com,Aditya Ali,2026-05-06 03:00:00,302.83,1,Cold Brew,online
loyalty,LOY-0000013,9386442515,swati.iyer516@outlook.com,Swati Iyer,2026-05-16 19:00:00,3661.69,1,Bulk Order,online
pos,POS-0000014,8450134822,sandeepdas465@yahoo.com,Sandeep Das,2026-03-31 11:00:00,752.48,2,Sandwich,MUM-01
ecommerce,ECO-0000015,7351658374,prakash_pillai1047@rediffmail.com,Prakash Pillai,2026-03-08 00:00:00,278.55,1,Sandwich,online
loyalty,LOY-0000016,9764540818,riya_trivedi331@hotmail.com,Riya Trivedi,2026-04-23 06:00:00,214.73,1,Pastry,online
loyalty,LOY-0000017,8366176468,trisha.menon518@outlook.com,Trisha Menon,2025-12-03 09:00:00,2153.0,1,Bulk Order,online
pos,POS-0000018,9350157861,amit.mukherjee593@rediffmail.com,Amit Mukherjee,2025-12-06 07:00:00,572.54,1,Coffee Beans 250g,MUM-02
pos,POS-0000019,9184995201,sapna.pillai1466@yahoo.com,Sapna Pillai,2026-05-10 07:00:00,3361.24,1,Bulk Order,BLR-03
pos,POS-0000020,7738383899,naveen.singh843@outlook.com,Naveen Singh,2026-04-25 02:00:00,429.82,2,Cold Brew,BLR-02
pos,POS-0000021,9996665111,anil.hussain347@rediffmail.com,Anil Hussain,2026-03-18 22:00:00,271.02,1,Espresso,PUN-01
pos,POS-0000022,9024418805,rohit.pandey968@rediffmail.com,Rohit Pandey,2026-02-09 20:00:00,582.91,2,Cappuccino,BLR-01
pos,POS-0000023,9000277819,latha.menon158@hotmail.com,Latha Menon,2026-06-05 07:00:00,2818.76,2,Merchandise,DEL-02
pos,POS-0000024,7172967544,anjalidas174@gmail.com,Anjali Das,2025-09-06 00:00:00,584.94,1,Coffee Beans 250g,CHE-01
loyalty,LOY-0000025,9890628610,rohit_ahmed1190@outlook.com,Rohit Ahmed,2026-04-29 15:00:00,273.23,2,Pastry,online
pos,POS-0000026,7001192373,aditya_pillai985@gmail.com,Aditya Pillai,2026-05-29 20:00:00,741.99,1,Coffee Beans 250g,CHE-01
ecommerce,ECO-0000027,7057964437,rajesh.subramanian1071@gmail.com,Rajesh Subramanian,2025-09-19 04:00:00,2413.98,1,Bulk Order,online
ecommerce,ECO-0000028,9660871424,riya_hussain150@yahoo.com,Riya Hussain,2026-05-30 20:00:00,672.84,1,Merchandise,online
ecommerce,ECO-0000029,9078773037,sapna.iyer1066@hotmail.com,Sapna Iyer,2026-04-29 16:00:00,146.33,1,Pastry,online
pos,POS-0000030,9907410264,sandeep_qureshi1218@outlook.com,Sandeep Qureshi,2026-04-11 22:00:00,279.54,1,Sandwich,HYD-01
ecommerce,ECO-0000031,7551321871,geeta.menon1467@yahoo.com,Geeta Menon,2025-06-29 15:00:00,15721.44,4,Bulk Order,online
loyalty,LOY-0000032,9675885480,gaurav_nair1126@hotmail.com,Gaurav Nair,2026-01-20 19:00:00,292.84,1,Espresso,online
ecommerce,ECO-0000033,9480267053,mohanpandey338@outlook.com,Mohan Pandey,2026-05-06 08:00:00,356.98,1,Cold Brew,online
loyalty,LOY-0000034,7359862456,komal_naidu1497@yahoo.com,Komal Naidu,2026-05-06 06:00:00,704.68,1,Coffee Beans 250g,online
ecommerce,ECO-0000035,9323685191,ayesha_pillai746@rediffmail.com,Ayesha Pillai,2026-05-01 06:00:00,555.47,2,Espresso,online
pos,POS-0000036,9522210250,bhavanachoudhary970@gmail.com,Bhavana Choudhary,2026-04-06 09:00:00,3038.45,2,Bulk Order,DEL-02
ecommerce,ECO-0000037,8488338285,vinay_agarwal406@hotmail.com,Vinay Agarwal,2025-05-26 19:00:00,251.43,1,Espresso,online
pos,POS-0000038,7103053483,rekhamehta1120@rediffmail.com,Rekha Mehta,2026-02-23 20:00:00,1428.37,3,Coffee Beans 250g,BLR-03
pos,POS-0000039,9025694661,anjali_gupta857@hotmail.com,Anjali Gupta,2026-04-12 10:00:00,555.45,2,Cappuccino,BLR-01
ecommerce,ECO-0000040,9273630316,akashpillai814@hotmail.com,Akash Pillai,2026-03-20 02:00:00,486.7,2,Cold Brew,online
ecommerce,ECO-0000041,9130372180,sandeep_agarwal353@gmail.com,Sandeep Agarwal,2026-04-19 15:00:00,282.94,1,Cold Brew,online
ecommerce,ECO-0000042,9642632673,asha_naidu1226@hotmail.com,Asha Naidu,2026-05-10 10:00:00,105.23,1,Pastry,online
loyalty,LOY-0000043,7851154654,ananya_qureshi231@gmail.com,Ananya Qureshi,2026-06-01 23:00:00,259.54,1,Espresso,online
pos,POS-0000044,8877201711,meerapatel943@gmail.com,Meera Patel,2026-03-08 00:00:00,873.97,1,Merchandise,BLR-02
ecommerce,ECO-0000045,9071089996,poojapillai1065@hotmail.com,Pooja Pillai,2026-04-25 23:00:00,1629.59,1,Merchandise,online
loyalty,LOY-0000046,8842268623,ananyahussain1019@rediffmail.com,Ananya Hussain,2026-04-25 04:00:00,458.34,2,Cappuccino,online
ecommerce,ECO-0000047,9350629094,rashmi.kumar1168@gmail.com,Rashmi Kumar,2026-06-02 11:00:00,228.96,1,Sandwich,online
