email,full_name,total_orders,total_spent_inr,signup_date,city,accepts_marketing
mohan_joshi0@rediffmail.com,Mohan Joshi,2,728.3,2025-11-19,Ahmedabad,yes
jayakhanna2@outlook.com,Jaya Khanna,0,0.0,2025-01-01,Hyderabad,yes
divya_khan3@outlook.com,Divya Khan,1,307.31,2025-10-25,Indore,yes
rohan.kapoor4@yahoo.com,rohan kapoor,8,5232.67,2024-11-22,Kolkata,no
sanjay.krishnan5@yahoo.com,sanjay krishnan,1,557.2,2025-11-09,Indore,yes
rakesh.reddy6@rediffmail.com,Rakesh Reddy,0,0.0,2024-11-16,Pune,yes
vikramkhanna7@rediffmail.com,Vikram Khanna,1,411.74,2025-10-30,Mumbai,yes
sanjayiyer9@yahoo.com,sanjay iyer,4,2329.66,2026-01-22,Mumbai,yes
sushma_mishra10@yahoo.com,Sushma Mishra,4,2797.77,2025-07-25,Hyderabad,yes
ashokhussain11@yahoo.com,ashok hussain,5,2244.74,2025-07-10,Kolkata,yes
ashok_kapoor12@gmail.com,Ashok Kapoor,14,4981.61,2026-04-05,Jaipur,no
bhavanapillai13@gmail.com,Bhavana Pillai,0,0.0,2024-09-01,Kochi,yes
kunalmehta15@yahoo.com,Kunal Mehta,4,1423.52,2026-05-01,Hyderabad,yes
latha.ali21@hotmail.com,Latha Ali,0,0.0,2026-04-08,Bengaluru,no
amitbhat22@rediffmail.com,Amit Bhat,3,1070.69,2024-10-09,Hyderabad,yes
prakashnaidu23@hotmail.com,Prakash Naidu,15,9545.42,2025-12-27,Chennai,yes
faisalpatel24@rediffmail.com,Faisal P.,0,0.0,2024-11-21,Delhi,no
neha_roy25@yahoo.com,Neha Roy,19,9816.67,2025-10-17,Surat,yes
hemantsaxena26@hotmail.com,Hemant Saxena,0,0.0,2025-09-24,Surat,yes
saurabhmukherjee27@yahoo.com,Saurabh Mukherjee,0,0.0,2026-01-13,Bengaluru,yes
nisha.das30@gmail.com,Nisha Das,4,1514.13,2025-01-15,Noida,yes
madhuritrivedi32@hotmail.com,M. Trivedi,1,680.75,2024-12-02,Delhi,yes
nitin_saxena35@rediffmail.com,nitin saxena,7,3595.27,2024-11-10,Mumbai,yes
naveen_patel36@outlook.com,Naveen Patel,0,0.0,2024-08-03,Noida,yes
adityasheikh37@rediffmail.com,A. Sheikh,2,703.52,2026-02-27,Jaipur,no
yashgupta42@rediffmail.com,Yash Gupta,8,5582.51,2025-08-26,Surat,yes
deepak_kumar43@rediffmail.com,Deepak Kumar,4,1954.27,2025-01-02,Noida,yes
rahulsaxena45@yahoo.com,R. Saxena,17,9988.12,2024-07-31,Hyderabad,yes
shreya.saxena46@outlook.com,Shreya Saxena,1,600.67,2024-07-10,Jaipur,yes
kiran.subramanian48@yahoo.com,Kiran Subramanian,9,4309.72,2025-03-31,Surat,yes
trisha.desai49@gmail.com,Trisha Desai,1,660.28,2026-03-15,Mumbai,yes
tarun_banerjee51@rediffmail.com,Tarun Banerjee,14,5684.88,2025-08-18,Surat,yes
ananay.yadav52@outlook.com,Ananya Yadav,7,2712.29,2025-12-19,Bengaluru,yes
prakashtrivedi53@outlook.com,Prakash Trivedi,11,5116.24,2026-04-27,Indore,yes
pooja_hussain56@outlook.com,Pooja Hussain,2,1085.99,2025-04-28,Bengaluru,yes
madhuri.naidu57@yahoo.com,Madhuri Naidu,1,593.1,2025-10-04,Chennai,yes
zarbaansal59@outlook.com,Zara Bansal,6,2031.85,2025-04-16,Kochi,yes
riya_shah60@gmail.com,Riya Shah,6,2578.32,2026-01-09,Delhi,no
deepak.kapoor61@hotmail.com,Deepak Kapoor,9,4729.02,2024-10-25,Surat,no
tarun.banerjee62@rediffmail.com,Tarun Banerjee,1,618.25,2025-04-25,Mumbai,no
sushmachatterjee63@hotmail.com,Sushma Chatterjee,11,4325.06,2025-12-07,Indore,no
anil.agarwal66@hotmail.com,Anil Agarwal,12,4646.55,2024-06-21,Pune,yes
